complaint_id,date_received,product,issue,consumer_complaint_narrative,company,state,submitted_via,company_response_to_consumer,timely_response,consumer_disputed
3000000,2025-01-24,Student loan,Dealing with your lender or servicer,"To whom it may concern, I applied for an income-driven repayment plan and my servicer never processed it correctly. Please investigate this matter.",Northgate Bank,MO,Web,In progress,Yes,No
3000001,2024-07-28,Checking or savings account,Managing an account,My account was overdrawn due to a hold the bank placed without telling me in advance. I would appreciate a prompt resolution.,Redwood Lending Group,MO,Postal mail,Closed with non-monetary relief,Yes,No
3000002,2023-12-15,Checking or savings account,Opening an account,"To whom it may concern, I was denied the ability to open a basic checking account without a clear reason given.",Coastal Credit Union,IL,Referral,Closed with monetary relief,Yes,Yes
3000003,2025-04-06,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,"I would like to report the following issue. My credit report shows a late payment that was never late, I have proof of on time payment. This has caused significant stress.",Acme Financial Services,MA,Email,Closed with explanation,Yes,No
3000004,2024-12-22,Checking or savings account,Managing an account,I was unable to access my own checking account funds for over a week with no explanation. Please investigate this matter.,Northgate Bank,TX,Fax,Closed with non-monetary relief,Yes,No
3000005,2023-10-12,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,I am writing to file a complaint. A company charged my account for a transfer I never initiated or approved.,Union Point Financial,VA,Referral,Closed with monetary relief,Yes,No
3000006,2024-06-30,Credit card or prepaid card,Fees or interest,I was charged an overdraft and interest fee that was never disclosed to me when I opened the account. Please investigate this matter.,Redwood Lending Group,PA,Postal mail,Closed without relief,Yes,No
3000007,2025-04-04,Credit card or prepaid card,Fees or interest,"To whom it may concern, I was charged an overdraft and interest fee that was never disclosed to me when I opened the account. I would appreciate a prompt resolution.",Harbor Trust Bank,WA,Phone,Closed with explanation,Yes,No
3000008,2023-05-27,Debt collection,False statements or representation,This has been an ongoing problem. The collection agency threatened legal action that they have no authority to actually pursue.,Coastal Credit Union,IL,Referral,In progress,Yes,No
3000009,2024-01-06,Mortgage,Struggling to pay mortgage,I requested a loan modification months ago and have not received any response from my servicer.,Redwood Lending Group,IL,Email,Closed without relief,Yes,No
3000010,2024-09-02,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,"To whom it may concern, There is an account on my credit report that does not belong to me and I have disputed it multiple times.",Northgate Bank,WA,Postal mail,In progress,Yes,Yes
3000011,2025-02-26,Checking or savings account,Opening an account,I am writing to file a complaint. I was denied the ability to open a basic checking account without a clear reason given. This has caused significant stress.,Harbor Trust Bank,NY,Phone,Closed without relief,Yes,No
3000012,2024-06-03,Debt collection,Communication tactics,The collection agency threatened legal action that they have no authority to actually pursue. Please investigate this matter.,Northgate Bank,MI,Fax,In progress,Yes,No
3000013,2024-05-15,Mortgage,Trouble during payment process,I requested a loan modification months ago and have not received any response from my servicer. This has caused significant stress.,Acme Financial Services,NY,Phone,Closed with monetary relief,Yes,No
3000014,2025-04-15,Debt collection,Attempts to collect debt not owed,I am writing to file a complaint. I am being contacted about a debt that I already paid off two years ago and have receipts to prove it.,Northgate Bank,MO,Referral,Closed with non-monetary relief,Yes,Yes
3000015,2023-08-05,Student loan,Struggling to repay your loan,I would like to report the following issue. I applied for an income-driven repayment plan and my servicer never processed it correctly.,Cedarbrook Bank,OH,Fax,Closed with monetary relief,Yes,Yes
3000016,2023-05-04,Checking or savings account,Opening an account,I was denied the ability to open a basic checking account without a clear reason given.,Redwood Lending Group,GA,Web,Closed with monetary relief,Yes,No
3000017,2024-12-25,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation,I am writing to file a complaint. I filed a dispute over 30 days ago and the credit bureau has not corrected or responded to my investigation. I would appreciate a prompt resolution.,Acme Financial Services,GA,Web,Closed with explanation,No,No
3000018,2024-07-06,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,This has been an ongoing problem. Someone used my account to send a fraudulent money transfer and the company will not refund me. Please investigate this matter.,Summit Card Services,MD,Email,Closed without relief,Yes,Yes
3000019,2024-11-05,Debt collection,Communication tactics,"I am writing to file a complaint. I am receiving multiple collection calls per day, well beyond what is allowed under regulation. I would appreciate a prompt resolution.",Pinnacle Servicing LLC,VA,Postal mail,Closed without relief,Yes,No
3000020,2025-03-30,Checking or savings account,Opening an account,This has been an ongoing problem. I was unable to access my own checking account funds for over a week with no explanation. This has caused significant stress.,Northgate Bank,GA,Referral,Closed with non-monetary relief,Yes,No
3000021,2025-06-14,Mortgage,Struggling to pay mortgage,This has been an ongoing problem. My mortgage servicer misapplied my monthly payment and then charged me a late fee. Please investigate this matter.,Northgate Bank,MA,Email,Closed with explanation,Yes,No
3000022,2023-06-20,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation,I am writing to file a complaint. I filed a dispute over 30 days ago and the credit bureau has not corrected or responded to my investigation. Please investigate this matter.,Pinnacle Servicing LLC,TN,Postal mail,Closed with non-monetary relief,Yes,No
3000023,2024-02-04,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,This has been an ongoing problem. A company charged my account for a transfer I never initiated or approved. I would appreciate a prompt resolution.,Coastal Credit Union,MA,Phone,Closed without relief,Yes,No
3000024,2025-02-04,Student loan,Struggling to repay your loan,I am writing to file a complaint. My student loan servicer will not respond to my repeated requests about my repayment plan. I would appreciate a prompt resolution.,Harbor Trust Bank,TX,Web,In progress,Yes,No
3000025,2025-05-21,Checking or savings account,Opening an account,I am writing to file a complaint. I was denied the ability to open a basic checking account without a clear reason given. I would appreciate a prompt resolution.,Summit Card Services,FL,Email,Closed with explanation,No,No
3000026,2024-09-26,Student loan,Dealing with your lender or servicer,My student loan servicer will not respond to my repeated requests about my repayment plan. I would appreciate a prompt resolution.,Northgate Bank,AZ,Fax,In progress,No,No
3000027,2023-09-02,Mortgage,Applying for a mortgage,"To whom it may concern, My mortgage application has been delayed for months with no clear update from the lender. This has caused significant stress.",Coastal Credit Union,WA,Referral,Closed with monetary relief,Yes,No
3000028,2024-09-28,Checking or savings account,Problem caused by your funds being low,I am writing to file a complaint. My account was overdrawn due to a hold the bank placed without telling me in advance.,Vantage Capital Partners,NY,Web,In progress,Yes,No
3000029,2023-10-19,Debt collection,False statements or representation,"To whom it may concern, I never received the required written validation notice before collection calls started. This has caused significant stress.",Summit Card Services,MA,Email,Closed with monetary relief,Yes,No
3000030,2023-09-28,Mortgage,Applying for a mortgage,I am writing to file a complaint. My mortgage application has been delayed for months with no clear update from the lender. Please investigate this matter.,Northgate Bank,NY,Fax,In progress,Yes,No
3000031,2024-12-04,Debt collection,False statements or representation,I would like to report the following issue. The collection agency threatened legal action that they have no authority to actually pursue. Please investigate this matter.,Coastal Credit Union,IN,Postal mail,Closed with monetary relief,Yes,No
3000032,2023-12-08,"Money transfer, virtual currency, or money service",Fraud or scam,I am writing to file a complaint. A company charged my account for a transfer I never initiated or approved. I would appreciate a prompt resolution.,Summit Card Services,NC,Referral,Closed without relief,Yes,No
3000033,2024-12-08,Mortgage,Applying for a mortgage,I am writing to file a complaint. My mortgage application has been delayed for months with no clear update from the lender. I would appreciate a prompt resolution.,Summit Card Services,MO,Web,Closed with monetary relief,Yes,No
3000034,2025-03-26,Mortgage,Applying for a mortgage,I would like to report the following issue. My mortgage servicer misapplied my monthly payment and then charged me a late fee. This has caused significant stress.,Acme Financial Services,VA,Referral,Closed with non-monetary relief,Yes,No
3000035,2023-08-31,Student loan,Dealing with your lender or servicer,My student loan servicer will not respond to my repeated requests about my repayment plan. Please investigate this matter.,Summit Card Services,PA,Postal mail,Closed with explanation,Yes,No
3000036,2023-06-13,Debt collection,False statements or representation,"To whom it may concern, The collection agency threatened legal action that they have no authority to actually pursue. This has caused significant stress.",Northgate Bank,WA,Web,Closed without relief,Yes,No
3000037,2025-04-20,Debt collection,Written notification about debt,I would like to report the following issue. I never received the required written validation notice before collection calls started. This has caused significant stress.,Redwood Lending Group,GA,Web,Closed with non-monetary relief,Yes,No
3000038,2024-10-18,Checking or savings account,Problem caused by your funds being low,I would like to report the following issue. My account was overdrawn due to a hold the bank placed without telling me in advance. This has caused significant stress.,Cedarbrook Bank,WA,Fax,In progress,Yes,Yes
3000039,2023-02-09,Credit card or prepaid card,Problem with a purchase shown on your statement,My account was closed without any prior notice and I still had a positive balance. This has caused significant stress.,Northgate Bank,WI,Postal mail,Closed with monetary relief,Yes,Yes
3000040,2023-09-18,Student loan,Struggling to repay your loan,This has been an ongoing problem. I applied for an income-driven repayment plan and my servicer never processed it correctly. Please investigate this matter.,Acme Financial Services,AZ,Web,In progress,Yes,No
3000041,2024-11-10,"Money transfer, virtual currency, or money service",Fraud or scam,I would like to report the following issue. Someone used my account to send a fraudulent money transfer and the company will not refund me. This has caused significant stress.,Northgate Bank,MI,Email,Closed with monetary relief,Yes,Yes
3000042,2023-07-16,Student loan,Struggling to repay your loan,I applied for an income-driven repayment plan and my servicer never processed it correctly. Please investigate this matter.,Pinnacle Servicing LLC,WA,Fax,Closed with non-monetary relief,Yes,No
3000043,2023-08-04,Mortgage,Applying for a mortgage,I would like to report the following issue. My mortgage application has been delayed for months with no clear update from the lender. This has caused significant stress.,Pinnacle Servicing LLC,MD,Email,Closed with monetary relief,Yes,No
3000044,2025-03-23,Checking or savings account,Problem caused by your funds being low,My account was overdrawn due to a hold the bank placed without telling me in advance.,Summit Card Services,FL,Phone,In progress,Yes,No
3000045,2023-05-31,Student loan,Struggling to repay your loan,"To whom it may concern, My student loan servicer will not respond to my repeated requests about my repayment plan. Please investigate this matter.",Acme Financial Services,TX,Referral,Closed without relief,Yes,No
3000046,2024-02-14,Mortgage,Trouble during payment process,This has been an ongoing problem. My mortgage servicer misapplied my monthly payment and then charged me a late fee.,Redwood Lending Group,IL,Fax,Closed with explanation,Yes,No
3000047,2023-02-21,"Money transfer, virtual currency, or money service",Fraud or scam,"To whom it may concern, Someone used my account to send a fraudulent money transfer and the company will not refund me.",Cedarbrook Bank,GA,Web,Closed without relief,Yes,No
3000048,2025-04-30,Debt collection,Communication tactics,"This has been an ongoing problem. I am receiving multiple collection calls per day, well beyond what is allowed under regulation.",Cedarbrook Bank,MA,Referral,Closed without relief,Yes,No
3000049,2024-10-03,Checking or savings account,Problem caused by your funds being low,My account was overdrawn due to a hold the bank placed without telling me in advance.,Redwood Lending Group,NC,Postal mail,Closed with explanation,Yes,Yes
3000050,2023-05-22,Student loan,Struggling to repay your loan,I would like to report the following issue. I applied for an income-driven repayment plan and my servicer never processed it correctly. I would appreciate a prompt resolution.,Summit Card Services,GA,Postal mail,Closed with non-monetary relief,Yes,No
3000051,2024-03-01,Student loan,Dealing with your lender or servicer,I applied for an income-driven repayment plan and my servicer never processed it correctly.,Acme Financial Services,OH,Postal mail,Closed without relief,Yes,No
3000052,2023-12-27,"Money transfer, virtual currency, or money service",Fraud or scam,This has been an ongoing problem. Someone used my account to send a fraudulent money transfer and the company will not refund me. I would appreciate a prompt resolution.,Coastal Credit Union,WA,Postal mail,In progress,Yes,No
3000053,2023-01-30,Student loan,Dealing with your lender or servicer,This has been an ongoing problem. My student loan servicer will not respond to my repeated requests about my repayment plan.,Pinnacle Servicing LLC,NJ,Fax,Closed without relief,Yes,No
3000054,2024-02-08,Student loan,Dealing with your lender or servicer,My student loan servicer will not respond to my repeated requests about my repayment plan. I would appreciate a prompt resolution.,Vantage Capital Partners,MD,Fax,Closed with explanation,Yes,Yes
3000055,2023-09-24,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation,"To whom it may concern, I filed a dispute over 30 days ago and the credit bureau has not corrected or responded to my investigation. I would appreciate a prompt resolution.",Pinnacle Servicing LLC,NJ,Referral,Closed without relief,Yes,Yes
3000056,2023-09-16,Credit card or prepaid card,Closing your account,I would like to report the following issue. My account was closed without any prior notice and I still had a positive balance.,Northgate Bank,TN,Web,In progress,No,No
3000057,2023-09-11,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,I am writing to file a complaint. A company pulled my credit report without my permission for a purpose I never authorized. I would appreciate a prompt resolution.,Redwood Lending Group,CA,Email,Closed with non-monetary relief,Yes,No
3000058,2024-04-21,Debt collection,Written notification about debt,I never received the required written validation notice before collection calls started. Please investigate this matter.,Coastal Credit Union,VA,Referral,In progress,Yes,No
3000059,2024-08-15,Mortgage,Applying for a mortgage,I would like to report the following issue. My mortgage application has been delayed for months with no clear update from the lender. I would appreciate a prompt resolution.,Acme Financial Services,MI,Email,Closed without relief,Yes,No
3000060,2025-05-20,Checking or savings account,Opening an account,I am writing to file a complaint. I was denied the ability to open a basic checking account without a clear reason given. This has caused significant stress.,Vantage Capital Partners,NY,Email,Closed with explanation,Yes,No
3000061,2023-01-13,Credit card or prepaid card,Getting a credit card,My credit card application was denied for reasons that were never clearly explained to me. This has caused significant stress.,Pinnacle Servicing LLC,TN,Web,Closed without relief,Yes,Yes
3000062,2024-09-22,Credit card or prepaid card,Getting a credit card,"To whom it may concern, My credit card application was denied for reasons that were never clearly explained to me. This has caused significant stress.",Cedarbrook Bank,TN,Postal mail,Closed without relief,Yes,No
3000063,2024-04-06,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,I am writing to file a complaint. A company charged my account for a transfer I never initiated or approved. This has caused significant stress.,Redwood Lending Group,MA,Email,In progress,Yes,No
3000064,2024-05-14,Student loan,Struggling to repay your loan,I would like to report the following issue. I applied for an income-driven repayment plan and my servicer never processed it correctly. Please investigate this matter.,Redwood Lending Group,VA,Phone,Closed with monetary relief,Yes,No
3000065,2025-01-07,Credit card or prepaid card,Closing your account,I am writing to file a complaint. My account was closed without any prior notice and I still had a positive balance. Please investigate this matter.,Pinnacle Servicing LLC,TN,Email,Closed with non-monetary relief,Yes,No
3000066,2023-04-06,Student loan,Struggling to repay your loan,This has been an ongoing problem. I applied for an income-driven repayment plan and my servicer never processed it correctly. I would appreciate a prompt resolution.,Coastal Credit Union,GA,Postal mail,Closed with non-monetary relief,Yes,No
3000067,2023-12-27,Credit card or prepaid card,Closing your account,This has been an ongoing problem. My account was closed without any prior notice and I still had a positive balance. This has caused significant stress.,Union Point Financial,NC,Phone,Closed with monetary relief,No,No
3000068,2023-07-16,Debt collection,Attempts to collect debt not owed,"I am writing to file a complaint. This collector is trying to collect a debt that is not mine, likely a case of mistaken identity. Please investigate this matter.",Redwood Lending Group,TN,Phone,In progress,Yes,No
3000069,2024-01-05,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,I would like to report the following issue. A company charged my account for a transfer I never initiated or approved. Please investigate this matter.,Summit Card Services,MI,Web,In progress,Yes,No
3000070,2023-04-16,Debt collection,False statements or representation,"To whom it may concern, This collector is trying to collect a debt that is not mine, likely a case of mistaken identity.",Acme Financial Services,MD,Phone,Closed without relief,No,No
3000071,2023-04-27,Checking or savings account,Problem caused by your funds being low,I would like to report the following issue. My account was overdrawn due to a hold the bank placed without telling me in advance.,Northgate Bank,WA,Postal mail,Closed with explanation,Yes,No
3000072,2023-03-29,Mortgage,Applying for a mortgage,"To whom it may concern, My mortgage application has been delayed for months with no clear update from the lender. This has caused significant stress.",Redwood Lending Group,NY,Email,Closed without relief,Yes,Yes
3000073,2024-04-06,Mortgage,Applying for a mortgage,My mortgage application has been delayed for months with no clear update from the lender.,Union Point Financial,MI,Email,Closed without relief,Yes,No
3000074,2023-09-28,Credit card or prepaid card,Problem with a purchase shown on your statement,"To whom it may concern, There is a charge on my card statement for a purchase I never made or authorized. Please investigate this matter.",Northgate Bank,PA,Referral,Closed with non-monetary relief,Yes,No
3000075,2023-10-26,Mortgage,Trouble during payment process,My mortgage application has been delayed for months with no clear update from the lender.,Acme Financial Services,GA,Phone,Closed with monetary relief,Yes,No
3000076,2024-03-11,Student loan,Struggling to repay your loan,My student loan servicer will not respond to my repeated requests about my repayment plan. Please investigate this matter.,Northgate Bank,MO,Referral,Closed with non-monetary relief,Yes,No
3000077,2024-03-25,Credit card or prepaid card,Fees or interest,There is a charge on my card statement for a purchase I never made or authorized. This has caused significant stress.,Northgate Bank,MA,Fax,Closed with monetary relief,No,No
3000078,2024-09-04,Student loan,Struggling to repay your loan,This has been an ongoing problem. I applied for an income-driven repayment plan and my servicer never processed it correctly. I would appreciate a prompt resolution.,Acme Financial Services,AZ,Fax,Closed with monetary relief,Yes,No
3000079,2025-02-20,Mortgage,Struggling to pay mortgage,I would like to report the following issue. My mortgage servicer misapplied my monthly payment and then charged me a late fee. I would appreciate a prompt resolution.,Summit Card Services,TN,Email,Closed without relief,Yes,No
3000080,2024-04-26,Credit card or prepaid card,Fees or interest,This has been an ongoing problem. I was charged an overdraft and interest fee that was never disclosed to me when I opened the account. I would appreciate a prompt resolution.,Harbor Trust Bank,AZ,Phone,Closed with monetary relief,Yes,No
3000081,2023-10-23,Student loan,Dealing with your lender or servicer,This has been an ongoing problem. My student loan servicer will not respond to my repeated requests about my repayment plan.,Pinnacle Servicing LLC,MO,Web,Closed without relief,Yes,No
3000082,2024-11-04,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,This has been an ongoing problem. A company pulled my credit report without my permission for a purpose I never authorized. I would appreciate a prompt resolution.,Cedarbrook Bank,MA,Postal mail,Closed with explanation,Yes,No
3000083,2023-07-28,Debt collection,False statements or representation,This has been an ongoing problem. The collection agency threatened legal action that they have no authority to actually pursue. I would appreciate a prompt resolution.,Coastal Credit Union,MO,Referral,Closed with monetary relief,Yes,No
3000084,2024-12-27,Checking or savings account,Opening an account,I was denied the ability to open a basic checking account without a clear reason given. Please investigate this matter.,Summit Card Services,MI,Email,Closed with explanation,Yes,No
