product,issue,count
Checking or savings account,Managing an account,300
Checking or savings account,Problem caused by your funds being low,295
Checking or savings account,Opening an account,285
Credit card or prepaid card,Closing your account,222
Credit card or prepaid card,Getting a credit card,211
Credit card or prepaid card,Problem with a purchase shown on your statement,201
"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,333
"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation,302
"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,278
Debt collection,Attempts to collect debt not owed,218
Debt collection,Written notification about debt,216
Debt collection,Communication tactics,214
"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,433
"Money transfer, virtual currency, or money service",Fraud or scam,431
Mortgage,Applying for a mortgage,286
Mortgage,Trouble during payment process,274
Mortgage,Struggling to pay mortgage,261
Student loan,Struggling to repay your loan,448
Student loan,Dealing with your lender or servicer,399
